"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"0";"0";"0";"0";"0";"0";"0";
"06:00 - 07:00";"0";"0";"0";"0";"0";"0";"0";
"07:00 - 08:00";"0";"0";"0";"0";"0";"0";"0";
"08:00 - 09:00";"0";"0";"0";"0";"0";"0";"0";
"09:00 - 10:00";"0";"16";"15";"8";"14";"0";"0";
"10:00 - 11:00";"0";"23";"21";"15";"23";"0";"0";
"11:00 - 12:00";"0";"33";"32";"23";"27";"0";"0";
"12:00 - 13:00";"0";"27";"29";"21";"29";"0";"0";
"13:00 - 14:00";"0";"30";"27";"22";"28";"0";"0";
"14:00 - 15:00";"0";"25";"25";"22";"28";"0";"0";
"15:00 - 16:00";"0";"28";"28";"23";"31";"0";"0";
"16:00 - 17:00";"0";"27";"24";"20";"24";"0";"0";
"17:00 - 18:00";"0";"25";"20";"16";"24";"0";"0";
"18:00 - 19:00";"0";"12";"8";"9";"8";"0";"0";
"19:00 - 20:00";"0";"1";"1";"1";"1";"0";"0";
"20:00 - 21:00";"0";"0";"0";"0";"0";"0";"0";
"21:00 - 22:00";"0";"0";"0";"0";"0";"0";"0";
"22:00 - 23:00";"0";"0";"0";"0";"0";"0";"0";
"23:00 - 00:00";"0";"0";"0";"0";"0";"0";"0";
